is_proj_med	num_extlinks	num_pages
true	226	5
false	726	5
true	282	5
false	511	5
false	609	5
true	249	5
false	621	5
false	607	5
true	201	5
false	734	5
false	536	5
false	523	5
false	553	5
false	544	5
false	591	5
true	184	5
true	205	5
false	555	5
false	477	5
false	525	5
false	695	5
true	213	5
true	204	5
false	521	5
false	573	5
false	648	5
false	589	5
true	215	5
false	584	5
false	491	5
false	737	5
false	604	5
true	258	5
true	317	5
false	678	5
false	696	5
false	746	5
true	192	5
false	480	5
false	659	5
false	574	5
true	298	5
false	620	5
false	445	5
false	540	5
false	641	5
false	507	5
false	595	5
false	749	4
true	354	4
false	519	4
false	658	4
true	235	4
false	548	4
false	669	4
false	569	4
false	874	4
true	272	4
true	301	4
true	224	4
false	618	4
false	644	4
false	762	4
false	590	4
true	239	4
false	587	4
false	702	4
false	598	4
false	686	4
false	805	4
false	662	4
false	808	4
false	771	4
false	839	4
true	254	4
true	203	4
false	654	4
false	775	4
false	586	4
false	967	4
false	756	4
true	385	4
true	227	4
false	882	4
false	603	4
false	614	4
false	572	4
false	539	4
true	237	4
false	811	4
false	612	4
true	248	4
true	212	4
true	211	4
true	240	4
false	681	4
false	588	4
false	676	4
false	566	4
false	650	4
false	582	4
false	561	4
false	571	4
false	568	4
true	275	4
true	231	4
false	601	4
false	685	4
true	269	4
true	339	4
false	637	4
true	241	4
false	670	4
false	613	4
true	223	3
true	449	3
false	671	3
false	846	3
false	717	3
false	627	3
false	665	3
false	581	3
true	261	3
true	234	3
true	196	3
true	256	3
false	554	3
false	824	3
false	642	3
false	602	3
false	675	3
false	747	3
true	290	3
false	774	3
false	764	3
true	264	3
false	709	3
false	610	3
false	863	3
false	624	3
true	274	3
true	250	3
true	253	3
false	912	3
false	715	3
false	731	3
false	688	3
false	593	3
false	910	3
false	700	3
true	325	3
true	285	3
false	765	3
false	550	3
true	259	3
true	294	3
false	538	3
false	840	3
false	687	3
false	552	3
false	639	3
false	626	3
true	368	3
true	291	3
true	284	3
false	738	3
false	705	3
false	719	3
false	751	3
true	230	3
true	326	3
false	636	3
false	682	3
true	372	3
true	292	3
true	263	3
true	247	3
false	615	3
false	730	3
false	704	3
false	850	3
false	672	3
true	236	3
true	382	3
false	622	3
false	619	3
false	556	3
true	257	3
true	229	3
true	262	3
false	616	3
false	692	3
false	988	3
false	559	3
false	663	3
false	922	3
true	319	3
true	207	3
true	278	3
false	861	3
false	895	3
false	524	3
false	635	3
false	674	3
false	534	3
false	657	3
true	191	3
false	742	3
false	617	3
true	353	3
false	788	3
false	684	2
false	813	2
false	786	2
false	1377	2
false	1090	2
true	513	2
false	933	2
true	312	2
true	396	2
true	221	2
